"","model_name","fam_name","training_time_std","performance_score","accuracy","precision","recall"
"69","NBY_bank_003","NBY",0.9976,0.9993969571,1,1,1
"131","SVM_bank_007","SVM",0.9934,0.9983554475,1,1,1
"109","RFR_kick_011","RFR",0.9958,0.9913706241,0.9899,0.9899,0.9899
"66","LGR_bank_022","LGR",0.9611,0.9902688874,1,1,1
"128","RFR_kick_030","RFR",0.9948,0.987526879,0.9851,0.9851,0.9851
"126","RFR_kick_028","RFR",0.9966,0.9874805262,0.9844,0.9844,0.9844
"121","RFR_kick_023","RFR",0.9966,0.9868672586,0.9836,0.9836,0.9836
"123","RFR_kick_024","RFR",0.9962,0.9867122848,0.9835,0.9835,0.9835
"124","RFR_kick_026","RFR",0.9963,0.9850448048,0.9813,0.9813,0.9813
"116","RFR_kick_020","RFR",0.9964,0.9845796777,0.9807,0.9807,0.9807
"125","RFR_kick_027","RFR",0.998,0.9843274848,0.9798,0.9798,0.9798
"133","RFR_kick_029","RFR",0.9958,0.9842390896,0.9804,0.9804,0.9804
"120","RFR_kick_022","RFR",0.9961,0.9830017808,0.9786,0.9786,0.9786
"122","RFR_kick_025","RFR",0.9986,0.9700801637,0.9606,0.9606,0.9606
"41","DTR_kick_019","DTR",0.9981,0.9539065865,0.9388,0.9394,0.9394
"34","DTR_kick_012","DTR",0.9969,0.9537183529,0.9393,0.9393,0.9393
"39","DTR_kick_018","DTR",0.9983,0.9536772135,0.9385,0.939,0.939
"99","RFR_kick_001","RFR",0.9997,0.9507847292,0.9021,0.9045,0.9969
"100","RFR_kick_002","RFR",0.9995,0.9506213778,0.9019,0.9047,0.9964
"102","RFR_kick_004","RFR",0.9995,0.9506169281,0.9019,0.9047,0.9964
"103","RFR_kick_005","RFR",0.9995,0.9506157434,0.9019,0.9047,0.9964
"104","RFR_kick_006","RFR",0.9993,0.9496384531,0.9002,0.9046,0.9945
"101","RFR_kick_003","RFR",0.9993,0.9489453298,0.8991,0.9056,0.9918
